player,top10,fedex,rank
Billy Horschel,4,784,99
Aaron Wise,3,529,98
Joaquin Niemann,3,994,97
Patrick Cantlay,6,1410,97
Daniel Berger,2,432,94
Denny McCarthy,2,556,94
Max Homa,3,1438,94
Sahith Theegala,3,466,94
Will Zalatoris,6,1202,94
Brendan Steele,3,563,91
Sungjae Im,5,1167,91
Jon Rahm,5,1279,91
Si Woo Kim,1,580,87
Chan Kim,1,580,87
Corey Conners,2,703,87
Mito Pereira,3,829,87
Cameron Smith,5,1603,87
Davis Riley,6,903,87
Garrick Higgo,1,172,82
Charles Howell III,1,277,82
Brian Harman,3,451,82
Xander Schauffele,3,995,82
Adam Hadwin,4,532,82
Keith Mitchell,4,638,82
Jordan Spieth,4,1357,82
Rory McIlroy,5,1190,82
Francesco Molinari,1,181,77
Pat Perez,2,310,77
Aaron Rai,2,383,77
Luke List,3,861,77
Adam Schenk,3,380,77
Jason Day,2,302,74
Emiliano Grillo,0,149,72
Joel Dahmen,2,414,72
Beau Hossler,2,536,72
Abraham Ancer,3,414,72
Shane Lowry,3,802,72
Wyndham Clark,1,260,66
Jhonattan Vegas,1,379,66
Matthew NeSmith,2,480,66
J.T. Poston,2,284,66
Mackenzie Hughes,3,670,66
David Lipsky,3,411,66
Keegan Bradley,5,761,66
Martin Laird,0,214,66
Adam Svensson,2,274,62
Matt Kuchar,3,676,62
Sepp Straka,3,897,62
Lucas Herbert,2,730,59
Cameron Tringale,4,794,59
David Lingmerth,0,50,59
Lanto Griffin,4,583,57
Viktor Hovland,4,1170,57
K.H. Lee,2,781,53
Danny Lee,2,781,53
Min Woo Lee,2,781,53
Troy Merritt,2,545,53
C.T. Pan,2,410,53
Patrick Reed,2,523,53
Cam Davis,3,359,53
Chris Kirk,3,549,53
Camilo Villegas,0,85,53
Doug Ghim,1,240,49
Lucas Glover,1,335,49
Cameron Young,5,1230,49
Brandt Snedeker,0,127,49
Rickie Fowler,1,296,46
Kramer Hickok,1,281,46
Carlos Ortiz,1,399,46
Adam Scott,3,417,44
Ryan Moore,2,358,42
Taylor Moore,2,358,42
Brandon Wu,2,374,42
Bryson DeChambeau,0,40,0
Luke Donald,0,152,0
Jason Dufner,0,40,0
Harris English,0,32,0
Brandon Hagy,0,83,0
Bo Hoag,0,6,0
Charley Hoffman,0,102,0
Ryan Brehm,1,331,0
Patton Kizzire,1,283,0
Nate Lashley,1,393,0
Justin Lower,1,178,0
Ryan Palmer,1,323,0
Andrew Putnam,1,361,0
Kevin Streelman,1,294,0
Hudson Swafford,1,640,0
Erik van Rooyen,1,269,0
Nick Watney,1,364,0
Cameron Champ,2,200,0
Stewart Cink,2,269,0
Matt Jones,2,653,0
Kurt Kitayama,2,494,0
Russell Knox,2,448,0
Anirban Lahiri,2,561,0
Peter Malnati,2,385,0
Alex Noren,2,492,0
Chad Ramey,2,565,0
Alex Smalley,2,456,0
Matthew Wolff,2,557,0
Marc Leishman,3,601,0
Patrick Rodgers,3,396,0
Sam Ryder,3,350,0
Scott Stallings,3,535,0
Robert Streb,3,284,0
Tom Hoge,4,1309,0
Gary Woodland,4,470,0
Hideki Matsuyama,5,1544,0
Seamus Power,5,892,0
Matt Fitzpatrick,6,795,0
Collin Morikawa,6,974,0
Rafa Cabrera Bello,0,#N/A,0
Adam Long,0,392,0
Curtis Luck,0,#N/A,0
William McGirt,0,62,0
Jediah Morgan,0,#N/A,0
John Pak,0,#N/A,0
James Piot,0,#N/A,0
Danny Willett,0,182,0
